Content_ID,Content_type,Category,URL,ReactionType,Datetime,Sentiment,Score
1DEC5263-8A54-43FB-BFBE-A388D2919E74,gif,food,https://socialbuzz.cdn.com/content/storage/1dec5263-8a54-43fb-bfbe-a388d2919e74,super love,2020-07-06 19:21:25.0000000,positive,75
1DEC5263-8A54-43FB-BFBE-A388D2919E74,gif,food,https://socialbuzz.cdn.com/content/storage/1dec5263-8a54-43fb-bfbe-a388d2919e74,want,2020-09-29 01:55:19.0000000,positive,70
1DEC5263-8A54-43FB-BFBE-A388D2919E74,gif,food,https://socialbuzz.cdn.com/content/storage/1dec5263-8a54-43fb-bfbe-a388d2919e74,want,2021-03-11 11:17:14.0000000,positive,70
09F2E925-5086-42AD-8160-E763396A36CA,audio,dogs,https://socialbuzz.cdn.com/content/storage/09f2e925-5086-42ad-8160-e763396a36ca,interested,2021-04-26 08:56:32.0000000,positive,30
09F2E925-5086-42AD-8160-E763396A36CA,audio,dogs,https://socialbuzz.cdn.com/content/storage/09f2e925-5086-42ad-8160-e763396a36ca,interested,2021-06-06 09:43:51.0000000,positive,30
09F2E925-5086-42AD-8160-E763396A36CA,audio,dogs,https://socialbuzz.cdn.com/content/storage/09f2e925-5086-42ad-8160-e763396a36ca,super love,2020-12-28 08:20:12.0000000,positive,75
09F2E925-5086-42AD-8160-E763396A36CA,audio,dogs,https://socialbuzz.cdn.com/content/storage/09f2e925-5086-42ad-8160-e763396a36ca,interested,2021-03-06 14:41:19.0000000,positive,30
09F2E925-5086-42AD-8160-E763396A36CA,audio,dogs,https://socialbuzz.cdn.com/content/storage/09f2e925-5086-42ad-8160-e763396a36ca,want,2021-03-20 08:19:24.0000000,positive,70
09F2E925-5086-42AD-8160-E763396A36CA,audio,dogs,https://socialbuzz.cdn.com/content/storage/09f2e925-5086-42ad-8160-e763396a36ca,super love,2020-08-18 00:56:32.0000000,positive,75
BCEB7F2D-6AFE-45FC-88B1-4D4C8F597CF8,gif,technology,https://socialbuzz.cdn.com/content/storage/bceb7f2d-6afe-45fc-88b1-4d4c8f597cf8,interested,2021-04-06 23:43:20.0000000,positive,30
BCEB7F2D-6AFE-45FC-88B1-4D4C8F597CF8,gif,technology,https://socialbuzz.cdn.com/content/storage/bceb7f2d-6afe-45fc-88b1-4d4c8f597cf8,interested,2020-12-13 15:48:17.0000000,positive,30
BCEB7F2D-6AFE-45FC-88B1-4D4C8F597CF8,gif,technology,https://socialbuzz.cdn.com/content/storage/bceb7f2d-6afe-45fc-88b1-4d4c8f597cf8,interested,2020-09-02 07:27:46.0000000,positive,30
BCEB7F2D-6AFE-45FC-88B1-4D4C8F597CF8,gif,technology,https://socialbuzz.cdn.com/content/storage/bceb7f2d-6afe-45fc-88b1-4d4c8f597cf8,want,2020-10-31 06:36:47.0000000,positive,70
4B1C315B-84A8-400A-BB49-9FEC7DC767D5,audio,fitness,https://socialbuzz.cdn.com/content/storage/4b1c315b-84a8-400a-bb49-9fec7dc767d5,interested,2021-04-11 20:53:21.0000000,positive,30
4B1C315B-84A8-400A-BB49-9FEC7DC767D5,audio,fitness,https://socialbuzz.cdn.com/content/storage/4b1c315b-84a8-400a-bb49-9fec7dc767d5,interested,2020-07-18 13:50:20.0000000,positive,30
4B1C315B-84A8-400A-BB49-9FEC7DC767D5,audio,fitness,https://socialbuzz.cdn.com/content/storage/4b1c315b-84a8-400a-bb49-9fec7dc767d5,super love,2020-12-19 07:39:21.0000000,positive,75
4B1C315B-84A8-400A-BB49-9FEC7DC767D5,audio,fitness,https://socialbuzz.cdn.com/content/storage/4b1c315b-84a8-400a-bb49-9fec7dc767d5,interested,2021-03-17 03:30:31.0000000,positive,30
36BD1711-92F6-4240-8AC5-21DF845ABE86,gif,technology,https://socialbuzz.cdn.com/content/storage/36bd1711-92f6-4240-8ac5-21df845abe86,interested,2021-06-01 05:02:37.0000000,positive,30
36BD1711-92F6-4240-8AC5-21DF845ABE86,gif,technology,https://socialbuzz.cdn.com/content/storage/36bd1711-92f6-4240-8ac5-21df845abe86,super love,2020-09-26 23:13:55.0000000,positive,75
36BD1711-92F6-4240-8AC5-21DF845ABE86,gif,technology,https://socialbuzz.cdn.com/content/storage/36bd1711-92f6-4240-8ac5-21df845abe86,interested,2021-04-08 00:24:05.0000000,positive,30
36BD1711-92F6-4240-8AC5-21DF845ABE86,gif,technology,https://socialbuzz.cdn.com/content/storage/36bd1711-92f6-4240-8ac5-21df845abe86,super love,2021-02-23 04:31:00.0000000,positive,75
